A-bomb|s:a-bombs
afternoon|s:afternoons
aftershave|s:aftershaves,p:aftershaved
aftershock|s:aftershocks
afterthought|s:afterthoughts
aftertime|s:aftertimes
afterword|s:afterwords
ag|s:ags
aga|s:agas
agar|s:agars
agate|s:agates
agave|s:agaves
agca|s:agcas
age|s:ages,d:aged,i:ageing,3:ages,p:aged
age-group|s:age-groups
age-limit|s:age-limits
age-mate|s:age-mates
age-set|s:age-sets
agen|s:agens
agency|s:agencies
agenda|s:agendas
agent|s:agents
ager|s:agers,3:agers
ageratum|s:ageratums
agger|s:aggers
agglomerate|s:agglomerates,i:agglomerating,p:agglomerated,3:agglomerates,d:agglomerated
agglomeration|s:agglomerations
agglutinate|p:agglutinated,d:agglutinated,i:agglutinating,3:agglutinates
aggradation|s:aggradations
aggrade|p:aggraded,d:aggraded,i:aggrading,3:aggrades
aggrandise|d:aggrandised,i:aggrandising,p:aggrandised
aggrandize|i:aggrandizing,p:aggrandized,3:aggrandizes,d:aggrandized
aggrandizement|s:aggrandizements
aggravate|d:aggravated,p:aggravated,i:aggravating,3:aggravates
aggravation|s:aggravations
aggregate|s:aggregates,d:aggregated,i:aggregating,3:aggregates,p:aggregated
aggregation|s:aggregations
aggress|i:aggressing,p:aggressed,3:aggresses,d:aggressed
aggression|s:aggressions
aggressor|s:aggressors
aggrieve|d:aggrieved,p:aggrieved,i:aggrieving,3:aggrieves
aggro|s:aggros
agist|d:agisted
agister|s:agisters
agitate|d:agitated,i:agitating,p:agitated,3:agitates
agitation|s:agitations
agitator|s:agitators
agm|s:agms
agn|s:agns
agnate|3:agnates,s:agnates
agnathan|s:agnathans
agno|s:agnos
agnostic|s:agnostics
agonise|i:agonising,p:agonised,d:agonised,3:agonises
agonising|s:agonisings
agonist|s:agonists
agonize|p:agonized,d:agonized,i:agonizing,3:agonizes
agony|s:agonies
agoraphobic|s:agoraphobics
agrarian|s:agrarians
agree|d:agreed,p:agreed,3:agrees,i:agreeing
agreement|s:agreements
agri-chemical|s:agri-chemicals
agribusiness|s:agribusinesses
agribusinessman|s:agribusinessmen
agriculturalist|s:agriculturalists
agriculturist|s:agriculturists
agro-chemical|s:agro-chemicals
agro-industry|s:agro-industries
agrochemical|s:agrochemicals
agroecosystem|s:agroecosystems
agronomic|s:agronomics
agronomist|s:agronomists
ague|s:agues
agv|s:agvs
ah|s:ahs
ahd|s:ahds
ahearn|s:ahearns
AHG|3:ahgs,s:ahgs
AI|s:ais
AIA|s:aias
aid|s:aids,d:aided,i:aiding,p:aided,3:aids
aide|s:aides
aide-de-camp|s:aides-de-camp
aider|s:aiders
aiguillette|s:aiguillettes
ail|3:ails,p:ailed,i:ailing,d:ailed
aileron|s:ailerons
ailment|s:ailments
aim|s:aims,3:aims,p:aimed,d:aimed,i:aiming
aimer|s:aimers
air|d:aired,s:airs,i:airing,p:aired,3:airs
air-bag|s:air-bags
air-base|s:air-bases
air-bed|s:air-beds
air-bottle|s:air-bottles
air-bubble|s:air-bubbles
air-condition|i:air-conditioning,p:air-conditioned,3:air-conditions,d:air-conditioned
air-conditioner|s:air-conditioners
air-crew|s:air-crews
air-current|s:air-currents
air-drop|s:air-drops
air-force|s:air-forces
air-freshener|s:air-fresheners
air-gun|s:air-guns
air-hole|s:air-holes
air-hostess|s:air-hostesses
air-jet|s:air-jets
air-letter|s:air-letters
air-line|s:air-lines
air-pocket|s:air-pockets
air-raid|s:air-raids
air-route|s:air-routes
air-space|s:air-spaces
air-vent|s:air-vents
air-wave|s:air-waves
airbag|s:airbags,3:airbags
airbase|s:airbases
airbrake|s:airbrakes,3:airbrakes,p:airbraked
airbrick|s:airbricks
airbrush|s:airbrushes,3:airbrushes,p:airbrushed,i:airbrushing,d:airbrushed,f:airbrushes
airburst|s:airbursts
aircondition|i:airconditioning,d:airconditioned,p:airconditioned
aircraft-carrier|s:aircraft-carriers
aircraftman|s:aircraftmen
aircraftsman|s:aircraftsmen
aircrew|s:aircrews,3:aircrews
airdrop|s:airdrops,3:airdrops
Airedale|s:airedales
airfare|s:airfares,3:airfares
airfield|s:airfields
airflow|s:airflows
airforce|s:airforces
airframe|s:airframes,3:airframes
airfreight|d:airfreighted
airgun|s:airguns
airhead|s:airheads
airing|s:airings
airlift|d:airlifted,s:airlifts,p:airlifted,i:airlifting,3:airlifts
airline|s:airlines
airliner|s:airliners
airlock|s:airlocks
airmail|d:airmailed,s:airmails,i:airmailing,p:airmailed,3:airmails
airman|s:airmen
airmiss|s:airmisses
airpack|s:airpacks
airpass|s:airpasses
airplane|s:airplanes
airport|s:airports
airpump|s:airpumps
airscrew|s:airscrews
airship|s:airships
airshow|s:airshows,3:airshows
airspace|s:airspaces
airspeed|s:airspeeds
airstone|s:airstones
airstream|s:airstreams
airstrike|s:airstrikes
airstrip|s:airstrips
airt|s:airts
airwave|s:airwaves
airway|s:airways
airwoman|s:airwomen
airy|r:airier
aisle|s:aisles
