A-bomb|s:a-bombs
Alsatian|s:alsatians
alsike|s:alsikes
also-ran|s:also-rans
alstroemeria|s:alstroemerias
Altaian|s:altaians
altar|s:altars
altar-boy|s:altar-boys
altar-piece|s:altar-pieces
altarpiece|s:altarpieces
alter|d:altered,i:altering,3:alters,p:altered
alter-ego|s:alter-egos
alteration|s:alterations
altercate|i:altercating,p:altercated,3:altercates,d:altercated
altercation|s:altercations
alternant|s:alternants
alternate|i:alternating,p:alternated,3:alternates,d:alternated,s:alternates
alternation|s:alternations
alternative|s:alternatives
alternator|s:alternators
Althusserian|s:althusserians
altimeter|s:altimeters
altitude|s:altitudes
alto|s:altos
altruist|s:altruists
alum|s:alums
alumina|s:aluminas
aluminize|i:aluminizing,p:aluminized,3:aluminizes,d:aluminized
alumino-silicate|s:alumino-silicates
aluminosilicate|s:aluminosilicates
alveolar|s:alveolars
Alzheimer|s:alzheimers
AM|s:ams,r:amer
AMA|s:amas
amalgam|s:amalgams
amalgamate|d:amalgamated,p:amalgamated,i:amalgamating,3:amalgamates
amalgamation|s:amalgamations
amaranth|s:amaranths
amass|d:amassed,p:amassed,i:amassing,3:amasses
amate|3:amates,s:amates
amateur|s:amateurs
amaze|p:amazed,3:amazes,i:amazing,d:amazed,s:amazes
amazement|s:amazements
amazon|s:amazons
amazona|s:amazonas
ambassador|s:ambassadors
amber|s:ambers
ambiance|s:ambiances
ambience|s:ambiences
ambiguity|s:ambiguities
ambition|s:ambitions,f:ambitions
ambivalence|s:ambivalences
amble|p:ambled,i:ambling,3:ambles,d:ambled,s:ambles
ambling|s:amblings
ambra|s:ambras
ambulance|s:ambulances
ambulanceman|s:ambulancemen
ambulante|s:ambulantes
ambulate|i:ambulating,p:ambulated,3:ambulates,d:ambulated
ambulatory|s:ambulatories
ambuscade|i:ambuscading,p:ambuscaded,3:ambuscades,d:ambuscaded
ambush|d:ambushed,p:ambushed,s:ambushes,i:ambushing,3:ambushes
ambusher|s:ambushers
AMEL|s:amels
ameliorate|d:ameliorated,3:ameliorates,i:ameliorating,p:ameliorated
amelioration|s:ameliorations
amend|d:amended,i:amending,p:amended,3:amends,s:amends
amendment|s:amendments
amenity|s:amenities
amerce|d:amerced,p:amerced,i:amercing,3:amerces
amercement|s:amercements
American|s:americans
americanisation|s:americanisations
americanise|p:americanised,d:americanised,i:americanising
Americanism|s:americanisms
Americanize|i:Americanizing,p:Americanized,3:Americanizes,d:Americanized
Amerindian|s:amerindians
amethyst|s:amethysts
amidate|p:amidated
amide|s:amides
amidine|s:amidines
amigo|s:amigos
amine|s:amines,3:amines
amino-acid|s:amino-acids
aminoacid|s:aminoacids
aminoacyl-trna|s:aminoacyl-trnas
aminoglycoside|s:aminoglycosides
aminosalicylate|s:aminosalicylates
aminotransferase|s:aminotransferases
amir|s:amirs
amiss|i:amissing,s:amisses
ammeter|s:ammeters
ammoniate|i:ammoniating,p:ammoniated,3:ammoniates,d:ammoniated
ammonify|i:ammonifying,p:ammonified,3:ammonifies,d:ammonified
ammonite|s:ammonites
ammonoid|s:ammonoids
ammunition|s:ammunitions
amnesia|s:amnesias
amnesiac|s:amnesiacs
amnesic|s:amnesics
amnesty|s:amnesties,d:amnestied,i:amnestying,p:amnestied,3:amnesties
amo|s:amos
amoeba|s:amoebae
AMorite|s:amorites
amortise|d:amortised,i:amortising,3:amortises,p:amortised
amortize|p:amortized,d:amortized,i:amortizing,3:amortizes
amount|s:amounts,p:amounted,3:amounts,i:amounting,d:amounted
amour|s:amours
amp|s:amps,i:amping
ampe|s:ampes
ampere|s:amperes
ampersand|s:ampersands
amphetamine|s:amphetamines,3:amphetamines
amphibian|s:amphibians
amphibole|s:amphiboles
amphipod|s:amphipods
amphisbaenian|s:amphisbaenians
amphitheater|s:amphitheaters
amphitheatre|s:amphitheatres
amphora|s:amphoras
amphoteric|s:amphoterics
ample|r:ampler
amplification|s:amplifications
amplifier|s:amplifiers
amplify|d:amplified,p:amplified,i:amplifying,3:amplifies
amplitude|s:amplitudes
ampoule|s:ampoules
amputate|d:amputated,p:amputated,3:amputates,i:amputating
amputation|s:amputations
amputee|s:amputees
amulet|s:amulets
amuse|p:amused,d:amused,i:amusing,3:amuses,s:amuses
amusement|s:amusements
amy|s:amys
ana|s:anas
anabaptist|s:anabaptists
anachronism|s:anachronisms
anaemia|s:anaemias
anaemic|s:anaemics
anaerobe|s:anaerobes
anaesthetic|s:anaesthetics
anaesthetise|d:anaesthetised,i:anaesthetising,p:anaesthetised,3:anaesthetises
anaesthetist|s:anaesthetists
anaesthetize|d:anaesthetized,p:anaesthetized,i:anaesthetizing,3:anaesthetizes
anaglypta|s:anaglyptas
anagram|s:anagrams,i:anagramming,f:anagrams
anagrammatize|i:anagrammatizing,p:anagrammatized,3:anagrammatizes,d:anagrammatized
anal|s:anals
analgesic|s:analgesics
analogize|i:analogizing,3:analogizes,d:analogized,p:analogized
analogue|s:analogues
analogy|s:analogies
analysand|s:analysands
analyse|d:analysed,i:analysing,p:analysed,3:analyses,s:analyses
analyser|s:analysers
analysis|s:analyses
analyst|s:analysts
analyte|s:analytes
analytic|s:analytics
analyze|d:analyzed,i:analyzing,p:analyzed,3:analyzes
analyzer|s:analyzers
anania|s:ananias
anaphor|s:anaphors
anarchist|s:anarchists
anarchy|s:anarchies
anaspid|s:anaspids
anastasio|s:anastasios
anastomose|d:anastomosed,s:anastomoses,i:anastomosing,p:anastomosed,3:anastomoses
anathema|s:anathemas
anathematise|d:anathematised,i:anathematising,p:anathematised
anathematize|p:anathematized,i:anathematizing,3:anathematizes,d:anathematized
Anatolian|s:anatolians
anatomise|3:anatomises,p:anatomised
anatomist|s:anatomists
anatomize|p:anatomized,i:anatomizing,3:anatomizes,d:anatomized
anatomy|s:anatomies
anca|s:ancas
ance|s:ances
ancester|s:ancesters
ancestor|s:ancestors
ancestry|s:ancestries
anchor|s:anchors,i:anchoring,3:anchors,p:anchored,d:anchored
anchor-man|s:anchor-men
anchorage|s:anchorages
anchoress|s:anchoresses
anchorite|s:anchorites
anchorman|s:anchormen
anchovy|s:anchovies
ancient|s:ancients
ancillary|s:ancillaries
Andalusian|s:andalusians
andante|s:andantes
andean|s:andeans
ander|s:anders
andesite|s:andesites
andiron|s:andirons
Andorran|s:andorrans
andouillette|s:andouillettes
Andra|s:andras
andro|s:andros
androgen|s:androgens
androgyne|s:androgynes,3:androgynes
android|s:androids
andry|s:andries
anecdote|s:anecdotes
anele|i:aneling,p:aneled,3:aneles,d:aneled
anemometer|s:anemometers
anemone|s:anemones
anencephalic|s:anencephalics
anesthetise|d:anesthetised,p:anesthetised
anesthetize|i:anesthetizing,p:anesthetized,3:anesthetizes,d:anesthetized
aneuploidy|s:aneuploidies
aneurysm|s:aneurysms
aneurysma|s:aneurysmas
ang|i:anging,s:angs
anga|s:angas
ange|p:anged
angel|s:angels
Angeleno|s:angelenos
angelica|s:angelicas
angelique|s:angeliques
anger|d:angered,p:angered,s:angers,3:angers,i:angering
Angevin|s:angevins
angevine|s:angevines
angiogram|s:angiograms
angiography|s:angiographies
angioplasty|s:angioplasties
angiosperm|s:angiosperms,3:angiosperms
angle|s:angles,d:angled,i:angling,p:angled,3:angles
angle-park|i:angle-parking,p:angle-parked,3:angle-parks,d:angle-parked
angler|s:anglers
anglian|s:anglians
Anglican|s:anglicans
Anglicise|p:anglicised,d:anglicised,i:anglicising
Anglicize|p:anglicized,d:anglicized,i:anglicizing,3:anglicizes
anglo|s:anglos
Anglo-American|s:anglo-americans
anglo-canadian|s:anglo-canadians
Anglo-Catholic|s:anglo-catholics
anglo-indian|s:anglo-indians
Anglo-Norman|s:anglo-normans
Anglo-Nubian|s:anglo-nubians
Anglo-Saxon|s:anglo-saxons
Anglophile|s:anglophiles
Anglophobe|s:anglophobes
anglophone|s:anglophones,3:anglophones
Angolan|s:angolans
Angora|s:angoras
angry|r:angrier
angstrom|s:angstroms
anguish|i:anguishing,s:anguishes,p:anguished,3:anguishes,d:anguished
angularity|s:angularities
angulate|p:angulated,d:angulated,i:angulating,3:angulates
angulation|s:angulations
anharmonicity|s:anharmonicities
anhydrite|s:anhydrites
animadversion|s:animadversions
animadvert|p:animadverted,i:animadverting,3:animadverts,d:animadverted
animal|s:animals
animal-right|s:animal-rights
animalcule|s:animalcules
animalize|i:animalizing,p:animalized,3:animalizes,d:animalized
animate|d:animated,3:animates,i:animating,p:animated
animateur|s:animateurs
animatic|s:animatics
animation|s:animations
animator|s:animators
animatronic|s:animatronics
animist|s:animists
animosity|s:animosities
anion|s:anions
anionic|s:anionics
anisotropy|s:anisotropies
ankle|s:ankles
ankle-bone|s:ankle-bones
ankle-boot|s:ankle-boots
ankle-strap|s:ankle-straps
anklet|s:anklets
ankylosaur|s:ankylosaurs
ankylose|i:ankylosing,p:ankylosed,3:ankyloses,d:ankylosed
anm|r:anmer
annal|s:annals
annalist|s:annalists
annamite|s:annamites
anneal|i:annealing,p:annealed,d:annealed,s:anneals,3:anneals
annelid|s:annelids
annex|d:annexed,p:annexed,s:annexes,i:annexing,3:annexes
annexation|s:annexations
annihilate|d:annihilated,i:annihilating,p:annihilated,3:annihilates,s:annihilates
annihilation|s:annihilations
anniversary|s:anniversaries
anno|s:annos
annotate|d:annotated,p:annotated,i:annotating,3:annotates
annotation|s:annotations
announce|p:announced,d:announced,i:announcing,3:announces
announcement|s:announcements
announcer|s:announcers
annoy|p:annoyed,3:annoys,d:annoyed,i:annoying
annoyance|s:annoyances
annual|s:annuals
annualize|p:annualized
annuitant|s:annuitants
annuity|s:annuities
annul|d:annulled,p:annulled,i:annulling,s:annuls,3:annuls
annunciate|i:annunciating,p:annunciated,3:annunciates,d:annunciated
anode|s:anodes
anodise|i:anodising,p:anodised
anodize|i:anodizing,p:anodized,3:anodizes,d:anodized
anoint|d:anointed,p:anointed,i:anointing,3:anoints
anole|s:anoles
anomaly|s:anomalies
anopheline|s:anophelines
anorak|s:anoraks
anorexic|s:anorexics
anorthosite|s:anorthosites
anse|s:anses
Ansell|s:ansells,3:ansells
ansty|s:ansties
answer|s:answers,p:answered,d:answered,i:answering,3:answers
answerback|s:answerbacks
answerer|s:answerers
answerphone|s:answerphones
ant|s:ants,p:anted,i:anting
ant-eater|s:ant-eaters
ant-hill|s:ant-hills
ant-lion|s:ant-lions
anta|s:antas
antacid|s:antacids
antagonise|i:antagonising,d:antagonised,3:antagonises,p:antagonised
antagonism|s:antagonisms
antagonist|s:antagonists
antagonize|p:antagonized,i:antagonizing,d:antagonized,3:antagonizes
ante|s:antes,i:anteing,p:anteed,3:antes,d:anteed
ante-chamber|s:ante-chambers
ante-room|s:ante-rooms
anteater|s:anteaters
antecede|i:anteceding,p:anteceded,3:antecedes,d:anteceded
antecedent|s:antecedents
antechamber|s:antechambers
antedate|p:antedated,3:antedates,i:antedating,s:antedates,d:antedated
antelope|s:antelopes
antenna|s:antennas
anteroom|s:anterooms
anthelmintic|s:anthelmintics
anthem|s:anthems
anther|s:anthers
anthill|s:anthills,3:anthills
anthologise|p:anthologised,d:anthologised
anthologist|s:anthologists
anthologize|d:anthologized,i:anthologizing,p:anthologized,3:anthologizes
anthology|s:anthologies
anthracite|s:anthracites
anthraquinone|s:anthraquinones
anthropoid|s:anthropoids
anthropologist|s:anthropologists
anthropology|s:anthropologies
anthropometric|s:anthropometrics
anthropomorphise|d:anthropomorphised
anthropomorphism|s:anthropomorphisms
anthropomorphize|i:anthropomorphizing,p:anthropomorphized,3:anthropomorphizes,d:anthropomorphized
anthurium|s:anthuriums
anti-abortionist|s:anti-abortionists
anti-arrhythmic|s:anti-arrhythmics
anti-biotic|s:anti-biotics
anti-body|s:anti-bodies
anti-bolshevik|s:anti-bolsheviks
anti-climax|s:anti-climaxes
anti-coagulant|s:anti-coagulants
anti-communist|s:anti-communists
anti-cyclone|s:anti-cyclones
anti-depressant|s:anti-depressants
anti-emetic|s:anti-emetics
anti-european|s:anti-europeans
anti-fascist|s:anti-fascists
anti-federalist|s:anti-federalists
anti-feminist|s:anti-feminists
anti-fungal|s:anti-fungals
anti-hero|s:anti-heros
anti-histamine|s:anti-histamines
anti-human|s:anti-humen
anti-imperialist|s:anti-imperialists
anti-infective|s:anti-infectives
anti-inflammatory|s:anti-inflammatories
anti-log|s:anti-logs
anti-malarial|s:anti-malarials
anti-marketeer|s:anti-marketeers
anti-oxidant|s:anti-oxidants
anti-perspirant|s:anti-perspirants
anti-pope|s:anti-popes
anti-quark|s:anti-quarks
anti-racist|s:anti-racists
anti-Semite|s:anti-semites
anti-socialist|s:anti-socialists
anti-system|s:anti-systems
anti-toxin|s:anti-toxins
anti-venin|s:anti-venins
anti-viral|s:anti-virals
anti-vivisectionist|s:anti-vivisectionists
antibacterial|s:antibacterials
antibiotic|s:antibiotics
antibody|s:antibodies
antibond|i:antibonding
antic|s:antics,i:anticking,p:anticked,3:antics,d:anticked,f:antics
anticholinergic|s:anticholinergics
antichrist|s:antichrists
anticipate|d:anticipated,i:anticipating,p:anticipated,3:anticipates
anticipation|s:anticipations
anticlerical|s:anticlericals
anticlimax|s:anticlimaxes
anticline|s:anticlines
anticoagulant|s:anticoagulants
anticodon|s:anticodons
anticonvulsant|s:anticonvulsants
anticyclone|s:anticyclones
antidepressant|s:antidepressants
antidote|s:antidotes
antidrug|s:antidrugs
antielectron|s:antielectrons
antiemetic|s:antiemetics
antifouling|s:antifoulings
antifungal|s:antifungals
antigen|s:antigens
Antiguan|s:antiguans
antihero|s:antiheros
antihistamine|s:antihistamines
antihypertensive|3:antihypertensives
Antille|s:antilles
antilog|d:antilogged,s:antilogs
antimacassar|s:antimacassars
antimalarial|s:antimalarials
antimetabolite|s:antimetabolites
antimicrobial|s:antimicrobials
antimony|s:antimonies
antineutrino|s:antineutrinos
antineutron|s:antineutrons
antinomian|s:antinomians
antinomy|s:antinomies
antioxidant|s:antioxidants
antipa|s:antipas
antiparticle|s:antiparticles
antipathy|s:antipathies
antiperspirant|s:antiperspirants
antiphon|s:antiphons
antipode|s:antipodes
antipodean|s:antipodeans
antiproton|s:antiprotons
antiquaire|s:antiquaires
antiquarian|s:antiquarians
antiquark|s:antiquarks,3:antiquarks
antiquary|s:antiquaries
antiquate|i:antiquating,p:antiquated,3:antiquates,d:antiquated
antique|s:antiques,p:antiqued,i:antiquing,3:antiques,d:antiqued
antique-dealer|s:antique-dealers
antiquity|s:antiquities
antiracist|s:antiracists
antirrhinum|s:antirrhinums
antiseptic|s:antiseptics
antisepticize|i:antisepticizing,p:antisepticized,3:antisepticizes,d:antisepticized
antiserum|s:antiserums
antispasmodic|s:antispasmodics
antithesis|s:antitheses
antitoxin|s:antitoxins
antitype|s:antitypes
antiviral|s:antivirals
antler|s:antlers,p:antlered
antonym|s:antonyms
anuran|s:anurans
anvil|s:anvils
Anwar|s:anwars
anxiety|s:anxieties
anxiolytic|s:anxiolytics
anyon|s:anyons
anyway|s:anyways
anywhither|s:anywhithers
AO|s:aos
aoe|s:aoes
aonb|s:aonbs
aorta|s:aortas
AP|p:aped,i:aping,d:aped,s:aps
apanage|s:apanages
apartheid|s:apartheids
apartment|s:apartments
apartment-block|s:apartment-blocks
apatite|s:apatites
ape|s:apes,3:apes,i:apeing,p:aped,d:aped
Apennine|s:apennines
aperient|s:aperients
aperitif|s:aperitifs
aperture|s:apertures
apex|s:apices
aphasia|s:aphasias
aphasic|s:aphasics
aphid|s:aphids
aphorism|s:aphorisms
aphorize|i:aphorizing,p:aphorized,3:aphorizes,d:aphorized
aphrodisia|s:aphrodisias
aphrodisiac|s:aphrodisiacs
apic|s:apics
apocalypse|s:apocalypses
apodeme|s:apodemes
apolipoprotein|s:apolipoproteins
apologetic|s:apologetics
apologise|p:apologised,i:apologising,d:apologised,3:apologises
apologist|s:apologists
apologize|p:apologized,i:apologizing,3:apologizes,d:apologized
apology|s:apologies
apophthegm|s:apophthegms
apophyse|s:apophyses
apoprotein|s:apoproteins
aporia|s:aporias
apostate|s:apostates
apostatise|d:apostatised
apostatize|p:apostatized,i:apostatizing,3:apostatizes,d:apostatized
apostle|s:apostles
apostolate|s:apostolates
apostrophe|s:apostrophes
apostrophise|i:apostrophising
apostrophize|d:apostrophized,3:apostrophizes,i:apostrophizing,p:apostrophized
apothecary|s:apothecaries
apotheosise|d:apotheosised,i:apotheosising
apotheosize|p:apotheosized,i:apotheosizing,3:apotheosizes,d:apotheosized
APP|3:apps,s:apps
appal|p:appalled,d:appalled,3:appals,i:appalling
appall|3:appalls,s:appalls,i:appalling,p:appalled,d:appalled
apparat|s:apparats
apparatchik|s:apparatchiks
apparel|p:apparelled,s:apparels,i:appareling,3:apparels,d:appareled
apparentement|s:apparentements
apparition|s:apparitions
appeal|s:appeals,p:appealed,i:appealing,d:appealed,3:appeals
appear|p:appeared,3:appears,i:appearing,d:appeared
appearance|s:appearances
appease|d:appeased,i:appeasing,p:appeased,3:appeases
appeaser|s:appeasers
appel|s:appels
appellant|s:appellants
appellation|s:appellations
appelman|s:appelmans
appen|p:appened
append|p:appended,d:appended,i:appending,3:appends
appendage|s:appendages
appendicectomy|s:appendicectomies
appendix|s:appendices
apperceive|i:apperceiving,p:apperceived,3:apperceives,d:apperceived
appertain|i:appertaining,3:appertains,d:appertained,p:appertained,s:appertains
appetency|s:appetencies
appetiser|s:appetisers
appetite|s:appetites
appetizer|s:appetizers
applaud|p:applauded,d:applauded,i:applauding,3:applauds
apple|s:apples
apple-tree|s:apple-trees
applecart|s:applecarts,3:applecarts
applet|s:applets
appliance|s:appliances
applicability|s:applicabilities
applicant|s:applicants
application|s:applications
applicator|s:applicators
applier|s:appliers
applique|p:appliqued,d:appliqued,s:appliques
apply|d:applied,3:applies,i:applying,p:applied
appoggiatura|s:appoggiaturas
appoint|d:appointed,p:appointed,i:appointing,3:appoints
appointee|s:appointees
appointer|s:appointers
appointment|s:appointments
apport|s:apports
apportion|d:apportioned,i:apportioning,p:apportioned,3:apportions
apportionment|s:apportionments
appose|d:apposed,p:apposed,i:apposing,3:apposes
apposition|s:appositions
appraisal|s:appraisals
appraise|i:appraising,d:appraised,p:appraised,3:appraises,s:appraises
appraisee|s:appraisees
appraiser|s:appraisers
appreciate|d:appreciated,p:appreciated,i:appreciating,3:appreciates
appreciation|s:appreciations
appreciator|s:appreciators
apprehend|d:apprehended,i:apprehending,p:apprehended,3:apprehends
apprehension|s:apprehensions
apprentice|s:apprentices,d:apprenticed,p:apprenticed,i:apprenticing,3:apprentices
apprenticeship|s:apprenticeships
appress|p:appressed,d:appressed
apprise|d:apprised,p:apprised,i:apprising,3:apprises
apprize|i:apprizing,p:apprized,3:apprizes,d:apprized
approach|s:approaches,p:approached,i:approaching,d:approached,3:approaches
approbate|i:approbating,p:approbated,3:approbates,d:approbated
approbation|s:approbations
appropriate|d:appropriated,3:appropriates,p:appropriated,i:appropriating
appropriation|s:appropriations
approval|s:approvals
approve|d:approved,p:approved,i:approving,3:approves
approximate|i:approximating,3:approximates,d:approximated,p:approximated
approximation|s:approximations
appurtenance|s:appurtenances
appy|i:appying
APR|s:aprs
apricot|s:apricots
apron|s:aprons
apron-string|s:apron-strings
apse|s:apses
apt|s:apts,r:apter,t:aptest
apterygote|s:apterygotes
aptitude|s:aptitudes
aqua|s:aquas
aqualung|i:aqualunging,s:aqualungs
aquamarine|s:aquamarines
aquanaut|s:aquanauts
aquaplane|i:aquaplaning,p:aquaplaned,s:aquaplanes,3:aquaplanes,d:aquaplaned
aquarian|s:aquarians
aquarist|s:aquarists
aquarium|s:aquaria
aquascape|i:aquascaping,d:aquascaped
aquatic|s:aquatics
aquatint|s:aquatints,3:aquatints,i:aquatinting,p:aquatinted,d:aquatinted
aqueduct|s:aqueducts,3:aqueducts
aquifer|s:aquifers,3:aquifers
aquilegia|s:aquilegias
aquisition|s:aquisitions
aquitanian|s:aquitanians
AR|s:ars,3:ars
Arab|s:arabs
arab-american|s:arab-americans
arabesque|s:arabesques,i:arabesquing
Arabian|s:arabians
Arabist|s:arabists
arachnid|s:arachnids
